unixtime,latitudine,longitudine,altitudine,precisione_orizzontale,precisione_verticale,geometry,delta_tempo,distanza_orizzontale,distanza_verticale,distanza_reale,pendenza,velocita,delta_velocita,accelerazione,pendenza_radianti,accelerazione_max,distanza_percorsa,time_from_start,stato,time_from_start_minuti,velocita_kmh,impianti
1734869352.0,46.503435,12.930047,1678.674118,2.7,3.8,POINT (1439366.2479730945 5861395.349652134),2.0,17.540001010731793,-1.7322610000001077,17.625333007594318,-5.640275170663418,8.812666503797159,0.016469961468004612,0.008234980734002306,-0.09844137244656173,-0.9641508845636558,23949.6305873218,10305.0,Discesa,171.75,31.725599413669773,Giro d'Italia-Valvan
1734869354.0,46.503416,12.930209,1677.677501,4.2,3.8,POINT (1439384.281730603 5861392.276811967),2.0,18.293680782406256,-0.9966170000000147,18.32080789739549,-3.1183203277204123,9.160403948697745,0.3477374449005861,0.17386872245029306,-0.0544249568505898,-0.5336452859914561,23962.243439472724,10307.0,Discesa,171.78333333333333,32.97745421531188,Giro d'Italia-Valvan
1734869356.0,46.503447,12.930358,1674.335757,3.0,3.8,POINT (1439400.8683347313 5861397.290393846),2.0,17.3277649964648,-3.341743999999835,17.647059039235,-10.915757304287327,8.8235295196175,-0.336874429080245,-0.1684372145401225,-0.1905159053084344,-1.8576754668929527,23974.188217560495,10309.0,Discesa,171.81666666666666,31.764706270623,Giro d'Italia-Valvan
1734869358.0,46.503415,12.930525,1672.550962,3.9,3.8,POINT (1439419.4586896936 5861392.115083566),2.0,19.2972830761078,-1.784795000000031,19.379644664220795,-5.284221460474247,9.689822332110397,0.8662928124928975,0.43314640624644873,-0.09222706288981901,-0.9034654274299248,23987.491168495544,10311.0,Discesa,171.85,34.88336039559743,Giro d'Italia-Valvan
1734869360.0,46.503464,12.930674,1668.813965,3.1,3.8,POINT (1439436.045293822 5861400.039778671),2.0,18.382497899434927,-3.736996999999974,18.758501422041643,-11.491127136713521,9.379250711020822,-0.3105716210895757,-0.15528581054478785,-0.20055800330091952,-1.9543107279840346,24000.15890228419,10313.0,Discesa,171.88333333333333,33.76530255967496,Giro d'Italia-Valvan
1734869362.0,46.503486,12.930829,1665.834538,3.0,3.8,POINT (1439453.2998148948 5861403.597807369),2.0,17.617549933765346,-2.979426999999987,17.86770972780351,-9.59886641812303,8.933854863901756,-0.445395847119066,-0.222697923559533,-0.16753182345536158,-1.6358100347085116,24012.305089481095,10315.0,Discesa,171.91666666666666,32.161877510046324,Giro d'Italia-Valvan
1734869364.0,46.503459,12.930999,1662.572754,2.7,3.8,POINT (1439472.2241283297 5861399.231135987),2.0,19.421571974053187,-3.261784000000034,19.69356983398349,-9.533651572223611,9.846784916991744,0.9129300530899886,0.4564650265449943,-0.166393609673236,-1.6247994299532218,24025.694620908704,10317.0,Discesa,171.95,35.44842570117028,Giro d'Italia-Valvan
1734869366.0,46.503509,12.931132,1658.963783,2.7,3.8,POINT (1439487.0296206053 5861407.317566182),2.0,16.869883071138833,-3.6089710000001105,17.251597795935844,-12.075259482195845,8.625798897967922,-1.2209860190238224,-0.6104930095119112,-0.21075303599698308,-2.0522160282650237,24037.318348601508,10319.0,Discesa,171.98333333333332,31.05287603268452,Giro d'Italia-Valvan
1734869369.0,46.503609,12.931243,1653.486927,2.5,3.8,POINT (1439499.3860840835 5861423.490448886),3.0,20.352993013728565,-5.476855999999998,21.077008237926457,-15.061148941625438,7.025669412642152,-1.6001294853257697,-0.5333764951085899,-0.26286663816462313,-2.5491263633574266,24051.32406119667,10322.0,Discesa,172.03333333333333,25.29240988551175,Giro d'Italia-Valvan
1734869372.0,46.503619,12.931425,1649.245957,2.5,3.8,POINT (1439519.6462314078 5861425.107738792),3.0,20.324595844529874,-4.240969999999834,20.762346273588147,-11.786333421611802,6.920782091196049,-0.10488732144610324,-0.03496244048203442,-0.20571032494497493,-2.003815712915012,24065.338084309773,10325.0,Discesa,172.08333333333334,24.914815528305777,Giro d'Italia-Valvan
1734869374.0,46.503644,12.931596,1648.882821,2.8,3.8,POINT (1439538.6818643333 5861429.150964861),2.0,19.460292852907678,-0.36313600000016777,19.463680681603513,-1.0690355940454523,9.731840340801757,2.8110582496057077,1.4055291248028539,-0.01865819093710663,-0.18302623323288927,24078.75458629848,10327.0,Discesa,172.11666666666667,35.03462522688633,Giro d'Italia-Valvan
1734869376.0,46.503732,12.93175,1645.44547,2.5,3.8,POINT (1439555.8250659155 5861443.38313541),2.0,22.281024191625416,-3.437351000000035,22.54460957579435,-8.770028020409686,11.272304787897175,1.5404644470954185,0.7702322235477093,-0.1530658644483095,-1.4957195509034327,24094.097943486977,10329.0,Discesa,172.15,40.58029723642983,Giro d'Italia-Valvan
